ID Item,Centro de Custo RM,Unidade,Atividade,Item,Competência,Valor Orçado
I035,001.02.01.002,FAZENDA JÓIA,PECUARIA,Reforma E Recuperação De Pastagens,2026-11,250000
I035,001.02.01.002,FAZENDA JÓIA,PECUARIA,Reforma E Recuperação De Pastagens,2026-12,150000
I036,001.02.01.002,FAZENDA JÓIA,PECUARIA,Aquisição E Manutenção De Cochos,2026-06,5000
I036,001.02.01.002,FAZENDA JÓIA,PECUARIA,Aquisição E Manutenção De Cochos,2026-08,5000
I036,001.02.01.002,FAZENDA JÓIA,PECUARIA,Aquisição E Manutenção De Cochos,2026-09,5000
I036,001.02.01.002,FAZENDA JÓIA,PECUARIA,Aquisição E Manutenção De Cochos,2026-10,5000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2026-04,25000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2026-05,20000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2026-06,15000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2026-07,10000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2026-08,5000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2026-09,5000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2026-10,10000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2026-11,20000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2026-12,20000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2027-01,20000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2027-02,25000
I037,001.02.01.002,FAZENDA JÓIA,PECUARIA,Construção E Reforma De Cercas,2027-03,25000
I038,001.02.01.002,FAZENDA JÓIA,PECUARIA,Barra De Pesagem E Indicador True Test,2026-05,20000
I039,001.02.01.002,FAZENDA JÓIA,PECUARIA,Roçadeira Dupla  Tomada De Força (Com Kit Transporte),2026-08,50000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2026-04,30000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2026-05,30000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2026-06,15000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2026-07,10000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2026-10,15000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2026-11,30000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2026-12,30000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2027-01,30000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2027-02,30000
I040,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção De Cercas,2027-03,30000
I041,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção E Reforma De Cochos,2026-06,20000
I041,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção E Reforma De Cochos,2026-07,20000
I041,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção E Reforma De Cochos,2026-08,20000
I041,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção E Reforma De Cochos,2026-09,20000
I041,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção E Reforma De Cochos,2026-10,15000
I041,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção E Reforma De Cochos,2026-11,15000
I041,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Construção E Reforma De Cochos,2026-12,15000
I042,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Reforma De Casas,2026-04,40000
I042,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Reforma De Casas,2026-05,15000
I042,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Reforma De Casas,2026-06,15000
I042,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Reforma De Casas,2026-07,15000
I042,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Reforma De Casas,2026-08,15000
I043,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Poço Artesiano + Caixa D'Agua - Retiro Bomfim,2026-05,20000
I043,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Poço Artesiano + Caixa D'Agua - Retiro Bomfim,2026-06,15000
I043,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Poço Artesiano + Caixa D'Agua - Retiro Bomfim,2026-07,5000
I044,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Projeto Hidraulico - Retiro Bomfim,2026-05,50000
I044,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Projeto Hidraulico - Retiro Bomfim,2026-06,50000
I044,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Projeto Hidraulico - Retiro Bomfim,2026-07,50000
I044,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Projeto Hidraulico - Retiro Bomfim,2026-08,50000
I044,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Projeto Hidraulico - Retiro Bomfim,2026-09,30000
I044,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Projeto Hidraulico - Retiro Bomfim,2026-10,30000
I044,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Projeto Hidraulico - Retiro Bomfim,2026-11,40000
I044,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Projeto Hidraulico - Retiro Bomfim,2026-12,50000
I045,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Roçadeira Dupla  Tomada De Força (Com Kit Transporte),2026-08,50000
I046,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,4 Celulares Agriwebb,2026-04,2800
I047,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Materiais Oficina - Compressor E Bomba Lavatória,2026-05,5000
I048,001.02.01.003,FAZENDA BANDEIRANTES,PECUARIA,Computador,2026-04,5700
I049,001.02.01.004,FAZENDA CODORA,PECUARIA,Construção De Cercas - 3 Km,2026-12,7500
I049,001.02.01.004,FAZENDA CODORA,PECUARIA,Construção De Cercas - 3 Km,2027-01,7500
I049,001.02.01.004,FAZENDA CODORA,PECUARIA,Construção De Cercas - 3 Km,2027-02,7500
I049,001.02.01.004,FAZENDA CODORA,PECUARIA,Construção De Cercas - 3 Km,2027-03,7500
I050,001.02.01.004,FAZENDA CODORA,PECUARIA,Recuperação De Pastagens,2026-04,25000
I050,001.02.01.004,FAZENDA CODORA,PECUARIA,Recuperação De Pastagens,2026-05,25000
I050,001.02.01.004,FAZENDA CODORA,PECUARIA,Recuperação De Pastagens,2026-06,25000
I050,001.02.01.004,FAZENDA CODORA,PECUARIA,Recuperação De Pastagens,2026-07,25000
I050,001.02.01.004,FAZENDA CODORA,PECUARIA,Recuperação De Pastagens,2026-08,25000
I050,001.02.01.004,FAZENDA CODORA,PECUARIA,Recuperação De Pastagens,2026-09,25000
I050,001.02.01.004,FAZENDA CODORA,PECUARIA,Recuperação De Pastagens,2026-10,25000
I050,001.02.01.004,FAZENDA CODORA,PECUARIA,Recuperação De Pastagens,2026-11,25000
I051,001.02.01.004,FAZENDA CODORA,PECUARIA,Recuperação De Estradas Internas,2026-04,15000
I052,001.02.01.004,FAZENDA CODORA,PECUARIA,Reforma De Casa - Sede,2026-04,10000
I053,001.02.01.005,FAZENDA VERA CRUZ - FURNAS,PECUARIA,Construção E Reforma De Cercas - 4 Km,2026-04,20000
I053,001.02.01.005,FAZENDA VERA CRUZ - FURNAS,PECUARIA,Construção E Reforma De Cercas - 4 Km,2026-05,20000
I054,001.02.01.005,FAZENDA VERA CRUZ - FURNAS,PECUARIA,Restauração De Estrada - Serra,2026-04,50000
I054,001.02.01.005,FAZENDA VERA CRUZ - FURNAS,PECUARIA,Restauração De Estrada - Serra,2026-05,50000
I055,001.02.01.005,FAZENDA VERA CRUZ - FURNAS,PECUARIA,Reforma E Recuperação De Pastagens,2026-04,25000
I055,001.02.01.005,FAZENDA VERA CRUZ - FURNAS,PECUARIA,Reforma E Recuperação De Pastagens,2026-11,25000
I055,001.02.01.005,FAZENDA VERA CRUZ - FURNAS,PECUARIA,Reforma E Recuperação De Pastagens,2026-12,50000
I056,001.02.01.005,FAZENDA VERA CRUZ - FURNAS,PECUARIA,Reforma De Casa - Compra De Gado,2026-04,20000
I056,001.02.01.005,FAZENDA VERA CRUZ - FURNAS,PECUARIA,Reforma De Casa - Compra De Gado,2026-05,20000
I057,001.02.01.007,FAZENDA PORTEIRAS,PECUARIA,Construção E Reforma De Cercas - 3 Km,2026-04,8000
I057,001.02.01.007,FAZENDA PORTEIRAS,PECUARIA,Construção E Reforma De Cercas - 3 Km,2026-05,8000
I057,001.02.01.007,FAZENDA PORTEIRAS,PECUARIA,Construção E Reforma De Cercas - 3 Km,2026-06,8000
I057,001.02.01.007,FAZENDA PORTEIRAS,PECUARIA,Construção E Reforma De Cercas - 3 Km,2026-07,8000
I058,001.02.01.007,FAZENDA PORTEIRAS,PECUARIA,Forro Casa Colaborador,2026-04,4000
I059,001.02.01.008,FAZENDA CANADA,PECUARIA,Construção E Reforma De Cercas - 2 Km,2026-04,5000
I059,001.02.01.008,FAZENDA CANADA,PECUARIA,Construção E Reforma De Cercas - 2 Km,2026-05,5000
I059,001.02.01.008,FAZENDA CANADA,PECUARIA,Construção E Reforma De Cercas - 2 Km,2026-06,5000
I059,001.02.01.008,FAZENDA CANADA,PECUARIA,Construção E Reforma De Cercas - 2 Km,2026-07,5000
I060,001.02.01.009,FABRICA DE RAÇÃO E SAL MINERAL,PECUARIA,Cobertura Dos Silos,2026-04,30000
I061,001.02.01.009,FABRICA DE RAÇÃO E SAL MINERAL,PECUARIA,Cobertuira Da Pré Limpeza,2026-04,30000
I062,001.02.01.009,FABRICA DE RAÇÃO E SAL MINERAL,PECUARIA,Moega Principal,2026-04,85000
I063,001.02.01.009,FABRICA DE RAÇÃO E SAL MINERAL,PECUARIA,Rotor Do Moinho,2026-04,38000
I064,001.02.01.009,FABRICA DE RAÇÃO E SAL MINERAL,PECUARIA,Correira Para Esteira,2026-04,8000
I065,001.02.01.010,APOIO PECUÁRIA / MANUTENÇÃO PREDIAL,PECUARIA,4 Celulares ( Compra De Gado / Venda De Touro ),2026-04,8000
I066,001.02.01.012,FAZENDA COVOÁ (2),PECUARIA,Construção E Reforma De Cercas - 3 Km,2026-06,15000
I066,001.02.01.012,FAZENDA COVOÁ (2),PECUARIA,Construção E Reforma De Cercas - 3 Km,2026-08,15000
I067,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Notebook,2026-04,5700
I068,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,sala de acolhimento,2026-05,5000
I069,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Ar condicionado,2026-04,2600
I070,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Notebook,2026-04,5700
I071,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Notebook,2026-04,5700
I072,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Notebook,2026-04,5700
I073,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Armario,2026-04,3000
I074,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Notebook,2026-04,5700
I075,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Cadeiras Plastico,2026-05,960
I076,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Fechadura digital,2026-04,500
I077,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,1 TV SALA REUNIAO 50 Polegadas,2026-04,4000
I078,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Projeto combate de Incêndio central,2026-10,10000
I079,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Notebook OL Latex,2026-04,5700
I080,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Notebook Dell,2026-04,5700
I081,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Notebook Dell,2026-04,7500
I082,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,2Switches de acesso PRO MAX 24 POE,2026-06,20000
I083,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,4 Access Points U7 PRO,2026-06,10000
I085,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Fones Ouvido,2026-04,3600
I086,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Freezer (Electrolux),2026-06,4500
I087,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Purificador de Água,2026-05,1600
I088,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Melhorias Placa De Identificação Almoxarifado E Computador De Mesa Fazer Baixa Balcao,2026-04,5000
I089,001.04.01.001,ADMINISTRAÇÃO,ADMINISTRACAO,Instação placas Solares,2026-04,1370000
I090,001.05.01.001,OFICINA,OFICINA,M4986 ( Jatear Caçamba E Chassis),2026-04,28000
I091,001.05.01.001,OFICINA,OFICINA,M84 Arrumar Parte De Estrutura,2026-04,10000
I092,001.05.01.001,OFICINA,OFICINA,M5856 (Prancha) Reforma Geral Parte De Estrutura,2026-04,30000
I093,001.05.01.001,OFICINA,OFICINA,Containers (Reforma ),2026-04,40000
I094,001.05.01.001,OFICINA,OFICINA,Manutenção Torno - Está Com Folgas No Barramento,2026-04,20000
I095,001.05.01.001,OFICINA,OFICINA,Bobinadeira Elétrica Bob-04 + Moldes (Rebobinamento De Motores Elétricos De 0 A 250 Cv),2026-04,12000
I096,001.05.01.001,OFICINA,OFICINA,Desparafusadeira Elétrica Mazi Motor 3Cv,2026-04,16000
I097,001.05.01.001,OFICINA,OFICINA,Arqueadora De Molas Mazi Map 55 Dupla Ação,2026-04,25000
I098,001.05.01.001,OFICINA,OFICINA,Sacador De Tambor De Freios Mazi-Estm24,2026-04,5000
I099,001.05.01.001,OFICINA,OFICINA,Reforma Tratores,2026-04,200000
I100,001.03.01.001,LAVRINHA,AGRICOLA,Compressor 10/110 Chiaperini,2026-04,4200
I101,001.03.01.001,LAVRINHA,AGRICOLA,Trocar Curvas De Sustentação Da Bengala Pivô 01,2026-08,10080
I102,001.03.01.001,LAVRINHA,AGRICOLA,Revisar Bomba E Motor Do Pivô 02,2026-08,28000
I103,001.03.01.002,Unidade de Recepção de Grãos,AGRICOLA,Cobertura Para O Gerador,2026-04,10000
I104,001.03.01.002,Unidade de Recepção de Grãos,AGRICOLA,Plataforma Para Coleta De Amostra,2026-12,8000
I105,001.03.01.002,Unidade de Recepção de Grãos,AGRICOLA,Plataforma Para Ajuste De Peso Na Balança,2026-12,15000
I106,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Chave de impacto a bateria,2026-04,6300
I107,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Reforma do telhado do alojamento,2026-08,16500
I108,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Descompactação de solo - escarificação,2026-04,50495.4
I109,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Correção de solo,2026-04,478134.03
I111,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Reforma casa Sede,2026-08,15000
I112,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Correção dos pivôs com GRID 1/3,2026-07,509648.26
I114,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Construção oficina,2026-06,15000
I115,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Equipamentos para oficina,2026-04,6500
I116,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Troca foro da casa do João Pedro,2026-04,5500
I117,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Manutenção do telhado do alojamento,2026-06,5000
I118,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Refomrar o piso da casa do Zezinho,2026-04,2500
I119,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Correção do solo com  GRID 1/3,2026-09,242443.185
I120,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Correção do solo com  GRID 1/3,2026-07,1031128.365
I122,001.03.01.003,AGRÍCOLA ILP,AGRICOLA,Correção de solo com Grid 1/3,2026-08,244372.32
I123,001.06.01.001,VEÍCULOS E MECANIZADOS,VEICULOS E MECANIZADOS,Band Seringal -Strada Endurence 1.4 5 Passageiros,2026-04,113000
I124,001.06.01.001,VEÍCULOS E MECANIZADOS,VEICULOS E MECANIZADOS,Apoio Agricola -Strada Endurence 1.4 5 Passageiros,2026-04,113000
I125,001.06.01.001,VEÍCULOS E MECANIZADOS,VEICULOS E MECANIZADOS,Leonardo - L200 Gls,2026-11,245000
I126,001.06.01.002,VENDA DE VEÍCULOS,VENDA DE VEICULOS,Caminhão VW 25420 2019/2020 + Carreta,2026-04,290000
I127,001.06.01.002,VENDA DE VEÍCULOS,VENDA DE VEICULOS,M6736 Fiat Strada,2026-04,44355.5
